canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
O=C(CCCCC1CCSS1)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,CHEMBL195067,IC50,nM,32.7,IC50,nM,32.7
O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,CHEMBL194823,IC50,nM,0.253,IC50,nM,0.253
Nc1c2c(nc3cc(Cl)ccc13)CC(CNC(=O)CCCCC1CCSS1)CC2,CHEMBL363391,IC50,nM,1090.0,IC50,nM,1090.0
NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,CHEMBL191758,IC50,nM,21.5,IC50,nM,21.5
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,IC50,nM,424.0,IC50,nM,424.0
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl,CHEMBL555666,IC50,nM,0.5,IC50,nM,0.5
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl,CHEMBL557155,IC50,nM,0.34,IC50,nM,0.34
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl,CHEMBL534932,IC50,nM,0.33,IC50,nM,0.33
CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCCNc4c5c(nc6ccccc46)CCCC5)c3[C@H](C1)C2.Cl.Cl.Cl,CHEMBL2113368,IC50,nM,0.32,IC50,nM,0.32
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,CHEMBL555214,IC50,nM,0.45,IC50,nM,0.45
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,CHEMBL538573,IC50,nM,0.33,IC50,nM,0.33
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,CHEMBL539599,IC50,nM,0.4,IC50,nM,0.4
CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3[C@H](C1)C2.Cl.Cl.Cl,CHEMBL2113367,IC50,nM,0.29,IC50,nM,0.29
COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,CHEMBL75121,IC50,nM,44.5,IC50,nM,44.5
Cl.Nc1c2c(nc3ccccc13)CCCC2,CHEMBL1677,IC50,nM,205.0,IC50,nM,205.0
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,CHEMBL395280,IC50,nM,260.0,IC50,nM,260.0
CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2.Cl,CHEMBL536047,IC50,nM,0.78,IC50,nM,0.78
COc1cc2ccnc3c2c(c1OC)COC3=O,CHEMBL371276,IC50,nM,19600.0,IC50,uM,19.6
C=CCC1(O)OCc2c(OC)c(OC)cc3ccnc1c23,CHEMBL196401,IC50,nM,174000.0,IC50,uM,174.0
C=CCC1(OC)OCc2c(OC)c(OC)cc3ccnc1c23,CHEMBL196116,IC50,nM,100000.0,IC50,uM,100.0
COc1cc2ccnc3c2c(c1OC)COC3(CC(O)CO)OC,CHEMBL371006,IC50,nM,96000.0,IC50,uM,96.0
COc1cc2ccnc3c2c(c1OC)COC3(CCCO)OC,CHEMBL196177,IC50,nM,137000.0,IC50,uM,137.0
COc1cc2ccnc3c2c(c1OC)COC3(O)CC(O)CO,CHEMBL196699,IC50,nM,109000.0,IC50,uM,109.0
COc1cc2ccnc3c2c(c1OC)C(Br)OC3=O,CHEMBL371651,IC50,nM,46000.0,IC50,uM,46.0
COc1cc2cc[n+](C)c3c2c(c1OC)C(Br)OC3=O,CHEMBL370561,IC50,nM,105000.0,IC50,uM,105.0
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,IC50,nM,200.0,IC50,uM,0.2
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,IC50,nM,30.0,IC50,uM,0.03
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCNC2,CHEMBL1385,IC50,nM,1070.0,IC50,uM,1.07
CN[C@@H](CCOc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)N(C)C)cc1,CHEMBL194372,IC50,nM,101.0,IC50,nM,101.0
CN(C)C(=O)Oc1ccc2c(c1)C=CCN(C)[C@@H]2CCOc1ccc([N+](=O)[O-])cc1,CHEMBL197696,IC50,nM,14.0,IC50,nM,14.0
O=C(CCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,CHEMBL199670,IC50,nM,0.5,IC50,nM,0.5
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,IC50,nM,350.0,IC50,nM,350.0
O=C(CCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,CHEMBL370807,IC50,nM,0.45,IC50,nM,0.45
COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,CHEMBL372202,IC50,nM,0.04,IC50,nM,0.04
COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,CHEMBL382260,IC50,nM,0.65,IC50,nM,0.65
O=C(CCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,CHEMBL199585,IC50,nM,0.008,IC50,nM,0.008
O=C(CCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,CHEMBL202661,IC50,nM,0.87,IC50,nM,0.87
O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,CHEMBL381499,IC50,nM,0.1,IC50,nM,0.1
CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1O2,CHEMBL204895,IC50,nM,100.0,IC50,nM,100.0
